,name,coast_length,border_length,sea_level,number_of_borders,avg_temp,location_coast_length,location_border_length,location_sea_level,location_number_of_borders,location_avg_temp,label
190,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
191,Afghanistan,0.0,5529.0,1885.0,6,12.6,2254.0,2027.0,442.0,3,22.35,0
192,Afghanistan,0.0,5529.0,1885.0,6,12.6,13676.0,1228.0,498.0,4,15.4,0
193,Afghanistan,0.0,5529.0,1885.0,6,12.6,3542.0,1.0,442.0,0,24.85,0
194,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
195,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
196,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3651.0,3186.0,4,2.0,0
197,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
198,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
199,Afghanistan,0.0,5529.0,1885.0,6,12.6,2254.0,2027.0,442.0,3,22.35,0
200,Afghanistan,0.0,5529.0,1885.0,6,12.6,13676.0,1228.0,498.0,4,15.4,0
201,Afghanistan,0.0,5529.0,1885.0,6,12.6,3542.0,1.0,442.0,0,24.85,0
202,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
203,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
204,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3651.0,3186.0,4,2.0,0
205,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
206,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
209,Afghanistan,0.0,5529.0,1885.0,6,12.6,25760.0,1.0,330.0,0,21.65,0
210,Afghanistan,0.0,5529.0,1885.0,6,12.6,7600.0,1932.0,538.0,6,13.45,0
213,Afghanistan,0.0,5529.0,1885.0,6,12.6,459.0,2462.0,207.0,3,26.0,0
214,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
215,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
216,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
217,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
220,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3736.0,230.0,4,15.1,0
222,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
223,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
226,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
227,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
229,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
231,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
233,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
235,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
237,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
238,Afghanistan,0.0,5529.0,1885.0,6,12.6,1566.3,2027.0,1150.0,3,22.35,0
239,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
241,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
242,Afghanistan,0.0,5529.0,1885.0,6,12.6,2254.0,2027.0,442.0,3,22.35,0
243,Afghanistan,0.0,5529.0,1885.0,6,12.6,13676.0,1228.0,498.0,4,15.4,0
244,Afghanistan,0.0,5529.0,1885.0,6,12.6,3542.0,1.0,442.0,0,24.85,0
245,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
246,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
247,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3651.0,3186.0,4,2.0,0
248,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
249,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
252,Afghanistan,0.0,5529.0,1885.0,6,12.6,25760.0,1.0,330.0,0,21.65,0
253,Afghanistan,0.0,5529.0,1885.0,6,12.6,7600.0,1932.0,538.0,6,13.45,0
256,Afghanistan,0.0,5529.0,1885.0,6,12.6,459.0,2462.0,207.0,3,26.0,0
257,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
258,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
259,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
260,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
263,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3736.0,230.0,4,15.1,0
265,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
266,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
269,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
270,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
272,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
