,name,coast_length,border_length,sea_level,number_of_borders,avg_temp,location_coast_length,location_border_length,location_sea_level,location_number_of_borders,location_avg_temp,start_year,finish_year,wars_victory,wars_loses,total_wars_participate,wars_inside_country,imperialism_wars,deimperialism_wars,battles_in_country,label
128,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,1930,1930,8.0,13.0,21.0,18.0,3,12,8,1
131,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1930,1930,8.0,13.0,21.0,18.0,3,12,8,1
132,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,1932,1932,8.0,13.0,21.0,18.0,3,12,8,1
133,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,1933,1933,8.0,13.0,21.0,18.0,3,12,8,1
134,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1944,1944,8.0,13.0,21.0,18.0,3,12,8,1
135,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,November 1945,November 1945,8.0,13.0,21.0,18.0,3,12,8,1
136,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1948[2] or 1947[3],1948[2] or 1947[3],8.0,13.0,21.0,18.0,3,12,8,1
137,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,1949,1949,8.0,13.0,21.0,18.0,3,12,8,1
138,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,1975,1975,8.0,13.0,21.0,18.0,3,12,8,1
140,Afghanistan,0.0,5529.0,1885.0,6,12.6,58.0,3650.0,312.0,6,21.4,1990,1990,8.0,13.0,21.0,18.0,3,12,8,1
141,Afghanistan,0.0,5529.0,1885.0,6,12.6,499.0,462.0,108.0,2,25.35,1990,1990,8.0,13.0,21.0,18.0,3,12,8,1
