https://en.wikipedia.org/wiki/Norman_conquest_of_England,1066,1088,Normandy,Kingdom of England,Norman conquest of England,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Norman_invasion_of_Wales,1066,1165,Welsh kingdoms,,Norman invasion of Wales,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Battle_on_the_Nemiga_River,1066,1067,"Principality of Kiev,Principality of Chernigov",Principality of Polotsk,Battle on the Nemiga River,Niamiha River,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Battle_of_the_Alta_River,1068,1068,Cumans,"Principality of Kiev,Principality of Chernigov",Battle of the Alta River,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Battle_of_Kerl%C3%A9s,1068,1068,Kingdom of Hungary,"Pechenegs,Ouzes",Battle of Kerlés,"Kerlés,Kingdom of Hungary,Chiraleș,Romania",-1,-1,unknown,unknown,False,0
https://en.wikipedia.org/wiki/Kiev_uprising_of_1068,1068,1069,,Veche,Kiev uprising of 1068,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Battle_of_Pedroso,1071,1071,Kingdom of Galicia,County of Portugal,Battle of Pedroso,Braga,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Battle_of_Golpejera,1072,1072,Kingdom of Castille,Kingdom of Leon,Battle of Golpejera,"Carrión River,Santa Maria de Carrion",unknown,unknown,unknown,unknown,False,0
https://en.wikipedia.org/wiki/Uprising_of_Georgi_Voiteh,1072,1073,,,Uprising of Georgi Voiteh,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Battle_of_Kerj_Abu_Dulaf,1073,1073,Seljuk Empire,Kerman Seljuk Sultanate,Battle of Kerj Abu Dulaf,Hamadan,unknown,unknown,unknown,unknown,False,0
https://en.wikipedia.org/wiki/Saxon_Rebellion,1073,1075,Holy Roman Empire,Duchy of Saxony,Saxon Rebellion,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Georgian%E2%80%93Seljuk_wars,1074,1203,"Kingdom of Georgia,Georgian Empire","Great Seljuq Empire,Atabegs of Azerbaijan,Sultanate of Rum",Georgian–Seljuk wars,"Caucasus,Anatolia",-1,-1,135000,70000,False,0
https://en.wikipedia.org/wiki/L%C3%BD%E2%80%93Song_War,1075,1077,Lý dynasty,Song dynasty,Lý–Song War,"Song Dynasty,Đại Việt",650026,20000,1052820,303024,False,0
https://en.wikipedia.org/wiki/Revolt_of_the_Earls,1075,1075,Normandy,,Revolt of the Earls,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Varendra_Rebellion,1075,1082,Varendra,Pala Empire,Varendra Rebellion,"Varendra,Dinajpur,Bengal,Bangladesh",-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Great_Saxon_Revolt,1077,1088,Holy Roman Empire,,Great Saxon Revolt,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Gosannen_War,1083(disputed),1089(disputed),Kiyohara Clan,Mutsu Province,Gosannen War,"Mutsu province,Tōhoku region,Japan,",-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Rebellion_of_1088,1088,1088,,,Rebellion of 1088,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/First_Crusade,1096,1099,"Kingdom of France,County of Auvergne,Counts of Blois,Count of Toulouse,County of Boulogne,Duchy of Burgundy,County of Flanders,Duchy of Normandy,Duchy of Brittany,Vermandois,Holy Roman Empire,Republic of Genoa,County of Sicily,Principality of Taranto,County of Apulia and Calabria,Byzantine Empire,Armenian Kingdom of Cilicia","Fatimid Caliphate,Seljuk Empire,Sultanate of Rum,Danishmends,Aleppo,Damascus,Abbasid Caliphate",First Crusade,"Levant,Anatolia",unknown,unknown,unknown,unknown,False,0
https://en.wikipedia.org/wiki/Chola_invasion_of_Kalinga_(1097),1097,1097,Chola Empire,Kalinga,Chola invasion of Kalinga (1097),,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Crusade_of_1101,Summer of 1101,Summer of 1101,"Sultanate of Rum,Danishmends,Aleppo","Kingdom of France,Duchy of Burgundy,Counts of Blois,County of Nevers,County of Vermandois,Duchy of Aquitaine,Holy Roman Empire,County of Burgundy,Duchy of Bavaria,Margraviate of Austria,Republic of Genoa,Byzantine Empire,Papal States",Crusade of 1101,Anatolia,unknown,unknown,-1,-1,False,0
https://en.wikipedia.org/wiki/Battle_of_Ramla_(1101),1101,1101,Kingdom of Jerusalem,Fatimid Caliphate,Battle of Ramla (1101),Ramla,164,5005,2325,72006,False,0
https://en.wikipedia.org/wiki/Battle_of_Ramla_(1102),1102,1102,"Fatimids,Egypt",Kingdom of Jerusalem,Battle of Ramla (1102),"Ramla,Crusaders,Fatimids",unknown,200,28001,202,False,0
https://en.wikipedia.org/wiki/Norwegian_Crusade,1107,1110,"Kingdom of Norway,Kingdom of Jerusalem,Republic of Venice","Almoravids,Taifa of Mallorca,Fatimid Caliphate",Norwegian Crusade,"Iberia,Balearic Islands,Palestine",-1,-1,5061,unknown,False,0
https://en.wikipedia.org/wiki/Chola_invasion_of_Kalinga_(1110),1110,1110,Chola Empire,Kalinga,Chola invasion of Kalinga (1110),,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/1113%E2%80%9315_Balearic_Islands_expedition,1113,1115,"Republic of Pisa,Catalan counties,County of Provence,Giudicato of Torres,Papal States","Taifa of Majorca,Almoravids",1113–15 Balearic Islands expedition,Balearic Islands,unknown,unknown,450,unknown,False,0
https://en.wikipedia.org/wiki/Venetian_Crusade,1122,1124,"Republic of Venice,Kingdom of Jerusalem,County of Tripoli","Fatimid Caliphate,Seljuqs",Venetian Crusade,Levant,-1,-1,-1,-1,False,0
