https://en.wikipedia.org/wiki/Battle_of_Bapheus,1332,1332,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Battle_of_Dimbos,1332,1332,['Byzantine Empire'],['Ottoman Beylik'],Battle of Dimbos,['Yenişehir'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Marj_al-Saffar_(1303),1332,1332,['Mamluk Sultanate'],"['Mongol', 'Ilkhanate', 'Cilician Armenia']",Battle of Marj al-Saffar (1303),['Ghabaghib'],1006,unknown,38005,50009,False,1
https://en.wikipedia.org/wiki/Conquest_of_Sylhet,1332,1332,['Principality of Lakhnauti'],"['Gour Kingdom', 'Tungachal']",Conquest of Sylhet,['Barak River'],unknown,unknown,10000,100002,False,1
https://en.wikipedia.org/wiki/Battle_of_Happrew,1332,1332,['Kingdom of Scotland'],['Kingdom of England'],Battle of Happrew,"['Peebles', 'Scotland']",unknown,unknown,550,unknown,False,1
https://en.wikipedia.org/wiki/Sieges_of_Stirling_Castle,1332,1332,['Kingdom of Scotland'],['Kingdom of England'],Sieges of Stirling Castle,['Stirling Castle'],-1,-1,30,12,False,1
https://en.wikipedia.org/wiki/Battle_of_Halidon_Hill,1333,1333,['Kingdom of Scotland'],['Kingdom of England'],Battle of Halidon Hill,['Berwick-upon-Tweed'],unknown,unknown,15000,10000,False,1
https://en.wikipedia.org/wiki/Battle_of_Minatogawa,1336,1336,['Ashikaga clan'],['Imperial'],Battle of Minatogawa,"['Settsu Province', 'Kobe', 'Hyōgo Prefecture']",unknown,unknown,35001,17501,False,1
https://en.wikipedia.org/wiki/Battle_of_Cadzand,1337,1337,['Kingdom of England'],['County of Flanders'],Battle of Cadzand,"['Cadzand', 'Flanders']",unknown,unknown,3500,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1337,1337,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Battle_of_Arnemuiden,1338,1338,['England'],['France'],Battle of Arnemuiden,"['Arnemuiden', 'Walcheren']",1005,900,5,48,False,1
https://en.wikipedia.org/wiki/Battle_of_Parabiago,1339,1339,['Lordship of Milan'],"['Lodrisio Visconti', 'Company of St. George']",Battle of Parabiago,"['Parabiago', 'Lombardy']",2300,4500,unknown,506,False,1
https://en.wikipedia.org/wiki/Battle_of_Sluys,1340,1340,['Kingdom of England'],['Kingdom of France'],Battle of Sluys,"['Sluys', 'French', 'fief', 'Flanders', 'Dutch', 'Zeelandic Flanders']",1002,36356,270,213,False,1
https://en.wikipedia.org/wiki/Battle_of_Saint-Omer,1340,1340,['Kingdom of France'],"['County of Flanders', 'Kingdom of England']",Battle of Saint-Omer,"['Saint-Omer', 'Artois', 'France']",unknown,8004,3000,53008,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1340,1340,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Battle_of_Champtoceaux,1341,1341,['France'],non-state,Battle of Champtoceaux,"['Champtoceaux', 'Brittany']",unknown,unknown,7000,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Brest_(1342),1342,1342,['Kingdom of England'],['Republic of Genoa'],Battle of Brest (1342),"['Brest', 'Brittany']",unknown,unknown,260,14,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1342,1342,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Battle_of_Stephaniana,1344,1344,['Emirate of Aydin'],"['Medieval Kingdom of Serbia', 'Stefan Dušan']",Battle of Stephaniana,['Macedonia'],-1,-1,3100,unknown,False,1
